site,parcel_label,status,use,notes,image_paths,image_credits,source_doc_urls
# Real development-status data, sourced 2026-09-12 (see commit message for citations).
# This is a per-PARCEL table, not one row per site: "site" is a grouping
# label, parcel_label joins 1:1 against a real blklot from
# data/raw/parcels.geojson, and each site can (and, at pier-scale, should)
# have multiple rows once more parcels/phases are researched.
# status must be one of: complete, under_construction, planned, being_removed,
# existing (added 2026-09-13: a real, standing structure/lot this
# redevelopment hasn't touched at all yet -- distinct from "complete"
# (redevelopment finished) and "planned" (redevelopment approved/underway).
# Use it for historic buildings awaiting adaptive reuse, graded-but-vacant
# blocks, and similar "nothing has happened here yet" real states.
# image_paths: pipe-separated ("|") list of hosted images under
# data/manual/images/, shown as a carousel on the map -- only for images
# we're comfortable redistributing a copy of (public-record government
# documents, or explicitly openly-licensed photos). image_credits: same
# pipe-separated order/count as image_paths, one credit per image, required
# whenever image_paths is set. source_doc_urls: pipe-separated list of
# documents/articles containing a real rendering or photo, shown as "view
# source" links -- set regardless of whether image_paths is also set. Any
# of the three may be blank.
Pier 50 / Mission Rock,8719C001,complete,residential,"Verde -- Mission Rock Block F (Design Controls Figure 1.1; Parcel F per the 2019 Phase 1 submittal and the developer's 2022 groundbreaking announcement), 254-unit Studio Gang-designed residential tower at 1070 Bridgeview Way; leasing started Apr 2024, opened June 2024 (sfyimby.com/2024/04/mision-rock-opens-waterfront-park-starts-leasing-for-verde-san-francisco.html)",,,https://sfyimby.com/2024/04/mision-rock-opens-waterfront-park-starts-leasing-for-verde-san-francisco.html
Pier 50 / Mission Rock,8719B002,complete,residential,"The Canyon -- Mission Rock Block A (Design Controls Figure 1.1; MVRDV's 'Building A', the 3rd Street corner block), 283-unit MVRDV-designed residential tower at 1011-1023 3rd St; completed 2024, opening ceremony June 24 2024 marked Mission Rock's official opening (mvrdv.com/news/4446/the-canyon-mission-rock-complete-san-francisco, en.wikipedia.org/wiki/The_Canyon_(building))",data/manual/images/the_canyon.jpg,"Photo by Lexi Mattick, CC BY 4.0, via Wikimedia Commons",https://en.wikipedia.org/wiki/The_Canyon_(building)
Pier 50 / Mission Rock,8719A001,existing,entertainment,"Pier 48 -- historic pier (two parallel steel-truss transit sheds, Shed A and Shed B, plus a connecting Shed C added 1937-38 at the bayward end; ~261,000-263,000 gsf total incl. bulkhead buildings, aprons, and 'the Valley' -- a 33,800 gsf open-air corridor between Sheds A and B, historically used for rail cars/cargo transfer on remnant Belt Line Railway spur tracks). Built 1924-1930 (bulkhead wharf completed July 17, 1929); a contributing resource to the Port's National Register-listed Embarcadero Historic District. IDENTIFICATION: this blklot has no street address in DataSF's Assessor roll, but its real, surveyed shape (including the visible gap between sheds matching 'the Valley') matches Pier 48's documented footprint and location exactly when overlaid on satellite imagery -- confirmed, not approximate. Currently managed by Giants Enterprises as an event/exhibition venue (concerts, conferences, corporate galas) and used for interim parking/construction staging; full historic rehabilitation (required to follow the Secretary of the Interior's Standards, entitled for light industrial/PDR/artisan food-beverage manufacturing/commercial event space/maritime retail) has NOT happened -- Pier 48 sits on an aging pile-supported deck over water (unlike the filled/raised Seawall Lot 337 next door) and needs substantial substructure pile repair and seismic work first. Anchor Brewing was originally slated as anchor tenant for a ~209,000-212,500 sf production brewery/taproom spanning Sheds A, B, and the Valley; Anchor closed in 2023 and its 2024 buyer confirmed it will not reopen an SF brewery, so that plan is dead. Recorded as 'existing' (a real, actively-used historic structure, not yet redeveloped per the masterplan) rather than 'complete' or 'planned'. LOT CORRECTED 2026-09-17: this row joined blklot 9900048, which DataSF's Assessor roll retired on 2020-06-12 (date_rec_drop) when Seawall Lot 337 was subdivided; the live lot for the pier is 8719A001 (recorded the same day, active), whose 27,493 m2 also takes in the pier aprons -- the Design Controls' 'Pier 48 Apron' open space (Section 3.6) is therefore inside this record rather than drawn separately. The retired lot's shape had IoU 0.86 with the live one and both contain DataSF's 16,913 m2 Pier 48 building footprint (sf16_bldgid 201006.0000016).",,,https://www.sfplanning.org/document/pier-48-historic-resource-evaluation|https://giantsenterprises.com/oracle-park-edge/pier-48/
